s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 6.4102154E+000, 1.7914910E+002,-3.5602850E+001, 2.0711770E-001,-2.4352061E+000,-1.3134706E-002, 5.5764589E+001, 0.0000000E+000, 1.9002571E+002, 1.9706961E+002, 3.4278965E+001, 4.2026860E-003, 0.0000000E+000, 1.4700687E+002
 6.7804627E+000, 1.9113973E+002,-3.4097701E+001, 2.2128086E-001,-2.9524548E+000,-1.3887525E-002, 6.0444142E+001, 0.0000000E+000, 2.0460628E+002, 2.1474111E+002, 3.4279137E+001, 4.4522516E-003, 0.0000000E+000, 1.6443475E+002
 6.9655867E+000, 2.0283171E+002,-3.5505409E+001, 2.3200879E-001,-3.3855097E+000,-1.4415901E-002, 6.4463692E+001, 0.0000000E+000, 2.1899171E+002, 2.2862207E+002, 3.4279206E+001, 4.6319389E-003, 0.0000000E+000, 1.7375466E+002
 7.3358340E+000, 2.1581939E+002,-4.0956981E+001, 2.4316158E-001,-3.8397318E+000,-1.4962522E-002, 6.7670479E+001, 0.0000000E+000, 2.3152512E+002, 2.3892136E+002, 3.4279242E+001, 4.8216088E-003, 0.0000000E+000, 1.9344981E+002
 7.5209579E+000, 2.2869176E+002,-5.2353179E+001, 2.5487678E-001,-4.3031718E+000,-1.5472017E-002, 6.9280984E+001, 0.0000000E+000, 2.4128832E+002, 2.4155579E+002, 3.4279265E+001, 5.0012961E-003, 0.0000000E+000, 2.0370874E+002
 7.8912053E+000, 2.3949461E+002,-4.9742799E+001, 2.6772803E-001,-4.7658350E+000,-1.6007822E-002, 7.2640463E+001, 0.0000000E+000, 2.4673535E+002, 2.5787816E+002, 3.4279277E+001, 5.1909660E-003, 0.0000000E+000, 2.2468821E+002
 8.2328396E+000, 2.5389161E+002,-4.8715590E+001, 2.8422700E-001,-5.4356469E+000,-1.6666052E-002, 7.8429642E+001, 0.0000000E+000, 2.6681790E+002, 2.7843758E+002, 3.4279286E+001, 5.4209593E-003, 0.0000000E+000, 2.4560246E+002
 8.5458612E+000, 2.6246319E+002,-5.0991469E+001, 2.9767967E-001,-6.0794857E+000,-1.7283591E-002, 8.2036097E+001, 0.0000000E+000, 2.8407023E+002, 2.8770873E+002, 3.4279290E+001, 5.6351929E-003, 0.0000000E+000, 2.6599294E+002
 8.7023716E+000, 2.6826025E+002,-5.1807049E+001, 3.0817797E-001,-6.5217677E+000,-1.7731670E-002, 8.3617960E+001, 0.0000000E+000, 2.8869845E+002, 2.9383984E+002, 3.4279291E+001, 5.7899236E-003, 0.0000000E+000, 2.7635405E+002
 9.1164217E+000, 2.7677326E+002,-5.3775932E+001, 3.2091218E-001,-7.1413270E+000,-1.8265528E-002, 8.6139140E+001, 0.0000000E+000, 2.9796818E+002, 3.0229779E+002, 3.4279293E+001, 5.9762660E-003, 0.0000000E+000, 3.0464330E+002
