s,C,m,m
Time,"DOOR_TEMP","DOOR_VIS","LAYER_HEIGHT_DOOR"
 9.5143373E+001, 9.3569031E+001, 6.4019461E+000, 9.3249512E-001
 9.5456723E+001, 9.3776411E+001, 6.3528904E+000, 9.4778078E-001
 9.5713671E+001, 9.3924400E+001, 6.3166970E+000, 9.8115257E-001
 9.6058356E+001, 9.4000967E+001, 6.2864739E+000, 1.0326410E+000
 9.6334104E+001, 9.3788872E+001, 6.2659905E+000, 1.0815843E+000
 9.6609853E+001, 9.3408124E+001, 6.2669421E+000, 1.1225901E+000
 9.6933435E+001, 9.3163573E+001, 6.2704612E+000, 1.1703528E+000
 9.7242949E+001, 9.3621819E+001, 6.2338856E+000, 1.2066963E+000
 9.7511741E+001, 9.4988428E+001, 6.1487135E+000, 1.2226240E+000
 9.7825152E+001, 9.6515931E+001, 6.0475267E+000, 1.2240043E+000
 9.8150390E+001, 9.7782231E+001, 5.9357403E+000, 1.2180523E+000
 9.8410580E+001, 9.8950604E+001, 5.8442619E+000, 1.2246262E+000
 9.8735818E+001, 1.0031991E+002, 5.7667596E+000, 1.2248238E+000
 9.9061056E+001, 1.0172756E+002, 5.6913158E+000, 1.2071130E+000
 9.9321247E+001, 1.0255987E+002, 5.6371116E+000, 1.1910127E+000
 9.9646485E+001, 1.0310646E+002, 5.5961402E+000, 1.1809645E+000
 9.9906675E+001, 1.0367801E+002, 5.5544719E+000, 1.1599362E+000
 1.0025143E+002, 1.0425459E+002, 5.5035939E+000, 1.1055778E+000
 1.0053764E+002, 1.0450167E+002, 5.4623492E+000, 1.0269914E+000
 1.0081586E+002, 1.0429852E+002, 5.4525182E+000, 9.5128377E-001
 1.0113372E+002, 1.0365192E+002, 5.4672426E+000, 8.8134831E-001
 1.0145157E+002, 1.0255032E+002, 5.5008034E+000, 8.2326503E-001
 1.0170585E+002, 1.0155403E+002, 5.5391272E+000, 7.9346339E-001
 1.0202370E+002, 1.0071388E+002, 5.5808772E+000, 7.8432398E-001
 1.0234155E+002, 1.0001630E+002, 5.6075732E+000, 7.8906272E-001
 1.0265940E+002, 9.9590945E+001, 5.6067763E+000, 8.0276004E-001
